,black_rating,id,rated,turns,victory_status,white_rating,winner
0,1191,TZJHLljE,False,13,outoftime,1500,white
1,1261,l1NXvwaE,True,16,resign,1322,black
2,1500,mIICvQHh,True,61,mate,1496,white
3,1454,kWKvrqYL,True,61,mate,1439,white
4,1469,9tXo1AUZ,True,95,mate,1523,white
5,1002,MsoDV9wj,False,5,draw,1250,draw
6,1423,qwU9rasv,True,33,resign,1520,white
7,2108,RVN0N3VK,False,9,resign,1413,black
8,1392,dwF3DJHO,True,66,resign,1439,black
9,1209,afoMwnLg,True,119,mate,1381,white
10,1272,HgKLWPsz,False,39,mate,1381,white
11,1867,Vf5fKWzI,False,38,resign,1381,black
12,1936,HRti5mKv,False,60,resign,1381,black
13,1607,2fEjSei6,False,31,resign,1381,black
14,1141,u7i6dOaJ,False,31,mate,1094,white
15,1094,guanvMR5,False,43,resign,1141,black
16,1141,PmpkWkmm,False,52,resign,1094,black
17,1094,EwaK0IsE,False,66,mate,1141,black
18,1300,yrSDozT3,False,101,resign,1094,black
19,1094,x31mXlvc,False,25,resign,1500,white
20,1676,oQklnWWp,False,14,resign,1094,black
21,1068,QFCZwY1f,False,3,resign,1094,white
22,1094,5cgBygpI,False,17,resign,1500,white
23,1106,UhXXBOMY,True,36,resign,1307,white
24,1423,mCij4hBq,True,13,resign,1113,black
25,1219,ifUMWtVj,True,69,mate,1078,white
26,1079,Wf0zuLQQ,True,43,resign,1825,white
27,1038,srz9QfSN,True,54,mate,1328,black
28,1156,NS6ccssb,True,53,resign,1056,black
29,1148,M3vpf2Ki,True,66,mate,1077,black
30,1036,fXhNOnOn,True,64,resign,1358,black
31,1002,DiCTkvZH,True,64,mate,1200,black
32,1019,FSkgvV2E,True,54,resign,1203,white
33,1500,F1mRjzPr,False,21,resign,1019,black
34,975,Lq24M4KQ,False,11,resign,1422,white
35,1832,lHNM8cl5,True,19,resign,976,black
36,978,GfeEgLV3,True,28,resign,1569,white
37,1500,OR6aULrW,False,22,resign,978,black
38,978,Yg006qwa,False,37,resign,1500,white
39,978,G5S21pXK,False,34,resign,2449,white
40,978,R9a2DLwe,False,32,draw,1207,draw
41,978,r4LcBZA7,False,71,resign,1241,black
42,978,SDDXGw21,False,30,resign,1500,white
43,978,oqoT4DLS,False,66,resign,2443,white
44,978,eSociDPG,False,41,resign,1500,white
45,978,mpzYDfIK,False,49,resign,1500,white
46,1500,27zreJYy,False,3,resign,978,black
47,978,IRYkgI8N,False,7,resign,1343,white
48,978,tLnhk43J,False,35,mate,2436,white
49,978,iq3Kz06t,False,41,mate,2436,white
50,1500,AAw1TiNN,False,5,resign,978,black
51,978,n4vRYUCW,False,7,resign,1500,white
52,1500,KYPdQv8e,False,53,mate,978,white
53,978,p30PeXvE,False,36,resign,1500,black
54,1162,PBS4FEld,True,8,resign,1521,white
55,1500,0lDqWVlz,True,3,resign,1407,white
56,1458,O3wdIwg7,True,28,resign,1492,white
57,1442,48ktrxLp,True,30,resign,1414,black
58,1294,i2GBGO0R,True,44,resign,1457,black
59,1466,QZSTu1aT,True,29,resign,1525,white
60,1579,9tU9MM6P,True,37,resign,1207,black
61,1573,ztpC1S2c,True,49,resign,1567,white
62,1605,qc8aH5XL,True,32,resign,1578,black
63,1581,6sTz6t7D,True,25,resign,1939,white
64,1568,XuyVUkDi,True,40,mate,1618,black
65,1574,D5Oa4vGO,True,39,resign,1755,white
66,1596,6QAiH2Yy,True,57,resign,1561,white
67,1554,l7top9ps,True,78,resign,1500,black
68,1461,nG3Of11I,True,61,resign,1544,white
69,1335,cUzM68JF,True,44,resign,1563,black
70,1470,NZSBXWl2,True,62,mate,1579,black
71,1590,DHuXFP6C,True,87,mate,1617,white
72,1588,00R4UOcU,True,54,mate,1207,black
73,1547,IN15cBnB,True,54,resign,1595,black
74,1599,WYOts2ME,True,37,resign,1855,white
75,1547,oWFQ8mnz,True,50,resign,1589,white
76,1728,i2I8y9Xh,True,131,resign,1571,white
77,1579,osPCRdxJ,True,48,resign,1720,white
78,2105,Mi1AmkiI,True,47,resign,1579,black
79,1560,7kK30TmL,True,64,mate,1768,black
80,1436,ThCXomTn,True,61,resign,1552,white
81,1667,4dH72B3d,True,57,mate,1536,white
82,1549,4jRtIZTy,True,51,resign,1521,white
83,1545,wNK2HdLb,True,58,mate,1251,black
84,1408,d62Tg4dc,True,71,resign,1537,white
85,1512,TaSQfvww,True,114,resign,1522,white
86,1532,Xwpzq87m,True,39,resign,1602,white
87,1593,AHmgnsKz,True,20,resign,1543,black
88,1539,MfNml1rl,True,48,resign,1556,black
89,1548,mEAvshF2,True,34,mate,1409,black
90,1418,ySsVdRfw,True,51,resign,1539,white
91,1550,ylLqmXwb,True,69,resign,1603,white
92,1399,8mceLIXN,True,28,resign,1542,white
93,1877,YmJpuJkM,True,62,resign,1546,black
94,1535,PNNfempy,True,62,mate,1134,black
95,1784,TVfozmF5,True,85,mate,1513,white
96,1445,4LX77G3m,True,38,resign,1501,white
97,1500,nBfSissu,False,14,resign,1500,white
98,1714,h1unxHlo,True,113,draw,1745,draw
99,1748,OIyTAHCP,True,62,resign,1734,white
100,1739,bnCnIJSz,True,101,resign,1942,white
101,1855,ZzWyY1f8,True,75,outoftime,1724,white
102,1729,mkKSL3Ev,True,135,mate,1951,white
103,1388,aVwWNjNR,True,81,outoftime,1726,white
104,1806,DNUmSBH4,True,46,resign,1735,black
105,1728,Tlng5eqN,True,70,mate,1597,black
106,1738,wljkejE0,True,39,resign,1743,white
107,1750,iNZuj8bY,True,91,resign,1721,white
108,1487,Kan2JKOp,True,137,outoftime,1746,white
109,1735,bCUwPEJ7,True,46,resign,1744,black
110,1631,zTwM10Si,True,18,resign,1749,black
111,1396,PBQ5Il7e,True,28,resign,1769,black
112,1760,z1LTn4pe,True,40,resign,1795,black
113,1795,7NKtCk3B,True,111,mate,1729,white
114,1784,TMtvbg3w,True,54,mate,1795,black
115,1872,0OXPfTEt,True,33,resign,1770,white
116,1721,YzMf40DM,True,90,resign,1783,black
117,1768,q3NHAFFp,True,90,resign,1884,black
118,1756,Gz7Icasx,True,40,mate,1756,black
119,1958,3n4poRIX,True,49,outoftime,1724,white
120,1706,XRuQPSzH,True,50,resign,2036,black
121,925,XPZikam7,True,59,mate,1706,white
122,1219,5SNh53F9,True,26,outoftime,1244,black
123,921,ezdEKpqG,True,23,mate,1215,white
124,1201,WyQjriEX,True,118,mate,1350,black
125,1280,vAOIY0jj,True,66,mate,1210,black
126,1212,gHld9WSr,True,120,draw,1139,draw
127,1341,dh2xQb3X,True,36,mate,1220,black
128,1359,TKwuIzb6,True,26,mate,1234,black
129,1236,s752sCLr,True,62,resign,1275,black
130,1282,lKYmVLZt,True,37,resign,1433,white
131,1276,dRhehsEy,True,24,resign,1132,black
132,1308,7rbdtPwO,False,47,resign,1276,white
133,1266,ahwTovI0,True,37,resign,1228,black
